Unnamed: 0,Max_Enhancement_from_char_curv,Time_to_Peak_from_char_curv,Uptake_rate_from_char_curv,Washout_rate_from_char_curv,Maximum_variance_of_enhancement_Tumor,Peak_location_of_enhancement_variance_dynamics_Tumor,Enhancement_variance_increasing_rate_Tumor,Enhancement_variance_decreasing_rate_Tumor,Grouping_based_variance_of_peak_enhancement_slope_3D_tumor_Group_1,Grouping_based_variance_of_peak_enhancement_slope_3D_tumor_Group_2,Grouping_based_variance_of_peak_enhancement_slope_3D_tumor_Group_3,Grouping_based_variance_of_washin_slope_3D_tumor_Group_1,Grouping_based_variance_of_washin_slope_3D_tumor_Group_2,Grouping_based_variance_of_washin_slope_3D_tumor_Group_3,Grouping_based_variance_of_washout_slope_3D_tumor_Group_1,Grouping_based_variance_of_washout_slope_3D_tumor_Group_2,Grouping_based_variance_of_peak_enhancement_slope_2D_tumorSlice_Group_1,Grouping_based_variance_of_peak_enhancement_slope_2D_tumorSlice_Group_2,Grouping_based_variance_of_peak_enhancement_slope_2D_tumorSlice_Group_3,Grouping_based_variance_of_washin_slope_2D_tumorSlice_Group_1,Grouping_based_variance_of_washin_slope_2D_tumorSlice_Group_2,Grouping_based_variance_of_washin_slope_2D_tumorSlice_Group_3,Grouping_based_variance_of_washout_slope_2D_tumorSlice_Group_1,Grouping_based_variance_of_washout_slope_2D_tumorSlice_Group_2,Variance_of_Uptake_Tumor,Change_in_variance_of_Uptake_Tumor,SER_map_std_dev_tumor,SER_map_skewness_tumor,SER_map_kurtosis_tumor,PE_map_std_dev_tumor,PE_map_skewness_tumor,PE_map_kurtosis_tumor,WashinRate_map_std_dev_tumor,WashinRate_map_skewness_tumor,WashinRate_map_kurtosis_tumor
-1.7320387295060387,-0.26824167876328,-1.1300783328022257,0.5778108434756292,0.16317516852319006,-0.1407993311744119,1.1741078380730143,-0.17469538965968642,-0.07049280427809272,-0.17846720431022445,-0.0917474830870893,-0.08872130465628258,-0.17846720431022445,-0.07985625604841357,-0.09942637046652375,-0.15461167560599987,-0.04957398914162158,-0.11039945867864998,-0.09053934204284549,-0.04591311913611755,-0.11039945867864998,-0.10613649303320687,-0.04856056720747707,-0.08266908418678916,-0.0806316592703211,-0.5205112242957161,-0.21401584353458455,-0.44452789045251995,-0.08121024620659174,-0.292006761825837,-0.10864356461621984,0.25845766233671125,-0.09421743345822936,-0.8584329515225909,-0.1461841415084528,-0.5683965538753152
-1.728277936335191,0.11685334938051703,0.9743732449672583,-0.5676512521228879,-0.5757378106162806,0.5017812117384869,0.3170586566948223,0.4479262201082429,-0.07049280427809272,-0.1813619404201191,-0.10000421785559023,0.6699028020187145,-0.1813619404201191,-0.08728096610046625,1.2455709289346983,-0.15040149621021992,-0.048764494711638,-0.11502935113400142,-0.08646128062552144,-0.043040117769703096,-0.11502935113400142,-0.097002142051274,-0.043204265288863834,-0.07588639016723148,-0.08234772571125752,-0.9922973091997858,1.4607035360622453,1.0434795032485573,-0.1608105474370993,-0.3287084221387791,1.2393917493420261,0.9725293556616365,0.09168799006293321,-0.1490391117129507,0.5848189431251688,0.11824644851929705
-1.7245171431643436,0.062267111853700326,-1.1300783328022257,0.9149425197932219,0.34645071186670323,-0.14731962677440794,-1.3970397060615618,-0.16953481851580476,-0.0666259433006785,-0.1597761464398871,-0.10189875218317629,-0.1082459881232721,-0.1597761464398871,-0.08907097702645375,-0.11867501921784686,-0.12757404048257015,-0.05369266438733675,-0.08526125975729844,-0.09090780237749724,-0.04621056852133447,-0.08526125975729844,-0.10645609560045566,-0.04885593043450977,-0.05142818657761736,-0.08888322202288049,0.11988226686275338,0.018538776381218543,0.07875528266637896,-1.3770367068732046,0.07073871553730217,-0.23064371652692114,-0.2746776133976787,-0.21547897931285862,0.2542647132477679,0.8096746045900072,-0.8091301345505948
-1.7169955568226485,-0.5331471175620669,-0.07785254391748377,-0.5145955299834978,-0.2082348153458365,-0.15133785217324688,-0.5399905246833697,-0.18193561554881307,-0.07044100171383812,-0.1832156898437819,-0.10291121192799277,-0.10857332875729678,-0.1832156898437819,-0.09023879027778939,-0.11882061760801191,-0.15717072864901427,-0.05378437989951744,-0.11653305711392317,-0.0915121140344067,-0.046245149683966036,-0.11653305711392317,-0.10812861938543113,-0.04886213809972367,-0.08486722414954066,-0.08778787466198901,-0.21613297768481204,-0.4486051472051353,-0.5110250044940917,-0.2442647085324434,-0.19574093009356414,-0.41062946495659286,-0.5115285210475198,-0.23558399704300242,-0.8382723059278724,0.22970840166941756,-0.4516176701603682
-1.713234763651801,-0.31984975355163664,0.9743732449672583,-0.7161359050018381,-0.37919392415242414,0.02274990481974094,1.1741078380730143,-0.05635314521881066,-0.07049280427809272,-0.08786819193932761,-0.0226904735148054,0.06174543487266044,-0.08786819193932761,-0.04670759912838024,0.048913110828842726,-0.13695571256188727,-0.04421567716285922,0.001909557069584412,-0.06062657282743825,-0.046173670757397214,0.001909557069584412,-0.07428910164094969,-0.04881929145265795,-0.08346812694812669,-0.031141634588124793,-0.7728324120456338,0.3022482667367288,-0.516122420392972,0.04899901735871323,-0.3566922272561619,0.8796045442777397,0.06997426949244956,-0.17330104230823926,0.7615868840057245,0.28916450474742517,-0.5855337947235972
-1.7094739704809534,0.1913386277461755,0.9743732449672583,-0.5423253026884618,-0.5757378106162806,-0.1505039460862054,0.3170586566948223,-0.18138795653276843,-0.07049280427809272,-0.1793236922675484,-0.10294558225382311,-0.10819788911855992,-0.1793236922675484,-0.09027376158429758,-0.11816260556489504,-0.1436911208958701,-0.05392990316598198,-0.10411728285304837,-0.09136322575837554,-0.04625747564999174,-0.10411728285304837,-0.10780063350776024,-0.04888389724281802,-0.044411996168300875,-0.08863385854622076,0.5439210612218586,-0.652448507321538,-0.5346937974200574,0.014916610494713335,-0.3587771955818719,-0.4115771128288279,-0.5115357589546445,-0.2358175530974512,-0.865580090253164,-1.2826357801495756,0.15465268069640098
-1.705713177310106,-0.8811820922418643,0.9743732449672583,-0.9069960955993335,-0.45692469981100114,-0.14923660460525276,1.1741078380730143,-0.1808004984282946,-0.07049280427809272,-0.1827540578142518,-0.1018402850601162,-0.10661856715956608,-0.1827540578142518,-0.08918564541703888,-0.11707060629336183,-0.1576505362186616,-0.053651623343142316,-0.11460419634675745,-0.09080345168545163,-0.0461126019736557,-0.11460419634675745,-0.10739335660552196,-0.04875865097419906,-0.08584461059481814,-0.08781047923321572,-0.7630732320456158,0.5975074061270481,-0.47174532836266525,-0.31505459688664994,-0.32561559637047854,-0.3344757103701163,-0.44931754978387434,-0.23347191122285527,-0.8861763312493949,-0.22823847231974695,-0.21604732747519273
-1.7019523841392583,0.025081541209204836,-1.1300783328022257,0.8770118077452836,0.030785727446553265,-0.14738470262430733,-1.3970397060615618,-0.16972317090006825,-0.06602730703782958,-0.11056511733271507,-0.102470162696955,-0.10831155208220652,-0.11056511733271507,-0.08979002910165285,-0.11836181628006474,-0.08019227173344846,-0.053304901347353835,-0.1017611600387074,-0.09103410967575962,-0.04619667811872509,-0.1017611600387074,-0.10707562392278944,-0.04877657079231056,-0.06618317051946507,-0.08753176357098823,-0.09048563972367168,-0.6582071019667216,-0.5073775210089232,0.36648454176910567,-0.28684258588162087,-0.2325090331298688,0.7251152698434684,0.09741605025553154,-0.5211126465534838,-1.1099773724878954,0.6417380814730724
-1.6981915909684109,0.2995948795920979,-0.07785254391748377,-0.08988109967051963,-0.2031048952172274,-0.15043517367479312,0.3170586566948223,-0.18132160602188468,-0.07049280427809272,-0.18237596177856066,-0.10241094779228554,-0.10812224143223644,-0.18237596177856066,-0.08972977879761822,-0.11803002209874253,-0.15656812825204594,-0.05374058922794892,-0.11305677599218361,-0.09066919335920946,-0.04618791856135805,-0.11305677599218361,-0.10627175002787607,-0.048761107463773455,-0.0833020648332637,-0.0880772849486122,0.8776983100167176,-1.1275922331643884,-0.5054551976574811,0.004095406540804649,-0.35923309438628803,-0.36495986179193934,-0.5049097244513508,-0.23530666431814412,0.6948619177758714,0.4862023779934396,-0.5321274043257408
-1.6944307977975634,0.7823545324462128,2.0265990338520004,-0.5902262815591556,-0.5757378106162806,-0.0486539834848244,1.1741078380730143,-0.10802013315918826,-0.07049280427809272,-0.17307680913766632,-0.0729585367212078,-0.033863561571592087,-0.17307680913766632,-0.07465598275080526,-0.04534419137702354,-0.15711855203815403,-0.05247112619329219,-0.11030815073439265,-0.0625371979502907,-0.04542530062792959,-0.11030815073439265,-0.07946422802402624,-0.048076170009346705,-0.08632027721814067,-0.08344013991207788,-1.1500395249665853,2.3838817265505114,-0.4778894599457206,0.6068347543566242,-0.09953429383143624,0.41185350251486885,0.46451182873184427,-0.007017119008546462,0.007376273384707002,0.786020357380581,-0.2890316354524125
