KMeans_Cluster,0/0/0,0/0/1,0/1/0,0/1/1,1/0/0,1/0/1,1/1/0,1/1/1
0,17.43,6.05,1.21,0.36,8.23,2.78,55.45,8.47
1,20.83,9.38,0.0,0.0,9.38,1.04,52.08,7.29
