GMM_Cluster,0/0/0,0/0/1,0/1/0,0/1/1,1/0/0,1/0/1,1/1/0,1/1/1
0,18.9,6.1,1.22,0.61,6.1,6.1,51.22,9.76
1,16.02,7.42,1.17,0.39,7.42,1.17,58.2,8.2
2,32.0,8.0,0.0,0.0,24.0,0.0,32.0,4.0
3,16.82,5.11,1.5,0.3,9.31,2.4,57.66,6.91
4,20.62,5.15,0.0,0.0,7.22,1.03,55.67,10.31
5,17.02,12.77,0.0,0.0,8.51,4.26,44.68,12.77
