GMM_Cluster,0/0/0,0/0/1,0/1/0,0/1/1,1/0/0,1/0/1,1/1/0,1/1/1
0,31,10,2,1,10,10,84,16
1,41,19,3,1,19,3,149,21
2,8,2,0,0,6,0,8,1
3,56,17,5,1,31,8,192,23
4,20,5,0,0,7,1,54,10
5,8,6,0,0,4,2,21,6
