PC1_Combining_Tumor_and_FGT_Enhancement,PC1_Tumor_Size_and_Morphology,PC1_Tumor_Enhancement_Texture,PC1_Tumor_Enhancement_Spatial_Heterogeneity,PC1_Tumor_Enhancement_Variation,PC1_Breast_and_FGT_Volume_Features,PC1_FGT_Enhancement,PC1_Tumor_Enhancement,PC1_FGT_Enhancement_Texture,PC1_FGT_Enhancement_Variation
-1.6141535966907552,-0.7447839675709901,0.33343117708874787,-1.1440879804298891,-0.19004718685597827,-0.5386899621367678,-1.1899017949052044,0.24045783063527018,-0.7935999706454159,-0.9004144358595382
-0.9464399999456939,1.1158721487648642,0.5875002789002726,-1.2761487768436472,0.47719102081956655,0.297467347610486,-1.2251020355134428,-0.28971515870863906,0.018259748698876057,-0.38468165986577924
0.8821349847340021,1.3148550077180199,0.21789591639759462,-0.15150007193873416,-0.10206906349180639,-0.4720113915692829,0.8866966050297242,-0.11188788263747565,0.703773690368633,1.222666060259699
1.689293183239089,-0.7942110588289503,-1.7178294176108235,1.2875029116564984,-0.4031721147512031,0.39848604343795074,0.6926273294567068,-0.6317685151417033,-0.16697779280200356,0.6148367995560181
-0.3200176048076899,-0.19720082101574166,-0.1272450089828895,1.3857349704430575,-0.35189260121672533,1.0238176338581408,-0.5484681967509728,-0.6161169936669953,-2.0922117874285333,-0.8982857391217
-0.31428954732827485,0.22545815748713,-0.03247531141256548,-0.44327482845593297,-0.01442858038978764,-0.20282738530477415,0.493649120642816,0.49610858587999757,0.6560331524244893,0.35850521289619314
-1.6538723267831363,-0.9149676925227379,-1.833268463845341,0.5654063765595833,-0.3865368855340882,0.19310816338979353,-1.3381509056506053,-0.3143686981244719,-0.1404068167623504,-0.8026641413334091
-0.38973573267825123,-0.0432862813956086,0.0858441014834042,0.4507432755567095,-0.3855662300622037,-0.9463086970611255,-1.1246522994074837,-0.7377453830077135,-0.9488343849707476,-0.8483408310686504
1.3911756683976981,0.48984924971380917,0.3018318625592436,0.0623024001757111,-0.14787907925742116,0.7683440720037691,1.4596064175895398,-0.17018525692024897,0.3296377342224709,-0.1546196284705214
-0.9843240053811807,-0.42022871470047946,0.1733432581112411,0.9709965754657709,-0.28063415827407046,0.6888222184215984,0.05148424501216835,0.03549494041156817,0.575310606740195,0.47451532727372214
0.3989221841166142,1.5927389062943473,0.4861685553621193,-1.2398416541962427,0.011864867806959927,0.6031963898870626,1.0709354475275399,-0.292928902631718,0.2384649226910452,0.04954813440471433
0.4188345354910719,2.573022160308084,1.9289671488272082,-1.5288979413911707,0.5841008911175976,-0.8533827559158201,0.6335951672209483,0.17259870246064077,0.6737006323018331,0.036612016036895435
1.5883059713215677,0.8912470711341173,0.7646787266400645,-0.5221938783080314,-0.1284622286946673,1.0610852483170268,2.275408219251244,0.1501561544885279,0.24125255485283129,1.2988214097772124
-1.9291425421067583,-1.0790964714168672,-0.2817875199205721,-1.401384324729444,-0.030290040545923123,0.44392766767883574,-0.9663847332476465,0.6547063712231185,-1.8910120551506493,-0.9025599759036159
-0.75763792710375,-0.4655168411725516,-0.30396610245775446,-0.7580376960230601,-0.2573857773812404,-1.2454447820069416,-0.8560441869125214,-0.009930698056605385,-0.39298990211991813,-0.8272488682145679
-0.859573583778327,-0.0032254860855865366,1.1776234425033416,0.6585236014623972,-0.20379853964849962,-0.6146667101600753,-0.15042209986328778,0.6871285290772491,1.3978214713142603,-0.1559355567400756
-0.6876619535713181,-1.1583257622559062,-1.336347102024843,1.275426017568698,-0.30739713003454955,-0.7768750576663727,-1.0415448262441072,-0.5816818590952693,-0.2992512181141344,-0.9185840509989646
0.6469667049410543,1.9789248358914926,0.36824739572187454,-0.3662459238671868,-0.30602030793625806,0.4317524267170919,0.061538982135403764,-0.8773625981411121,-0.7750162828916229,-0.8901560259884377
-0.6908014856079513,-0.3564035996894527,1.2822218721810932,-1.5406874000188229,0.15423718997197347,0.4786298289254797,-0.0631345531140615,-0.0767694681500337,-0.7976429049786846,-0.6303012230813952
1.4988535978854312,-0.5702757213815537,-0.182288962259268,-0.49969043357148235,-0.22581295481260805,-0.17100170376018817,1.313562681813113,-0.20212818830939133,-0.1206896611691924,1.056593232782182
