feature,importance_mean,importance_std,dataset,model
Grouping_based_mean_of_washin_slope_3D_tissue_T1_Group_1,0.0,0.0,CL_UNCORR,SVM
2nd_DFT_CoeffMap_Momment_Invariant_3_2D_tumorSlice,0.0,0.0,CL_UNCORR,SVM
2nd_DFT_CoeffMap_Momment_Invariant_4_2D_tumorSlice,0.0,0.0,CL_UNCORR,SVM
Grouping_based_variance_of_washin_slope_3D_tissue_PostCon_Group_3,0.0,0.0,CL_UNCORR,SVM
Ratio_Tissue_vol_enhancing_more_than_90percent_from_T1_to_Tissue_Vol,0.0,0.0,CL_UNCORR,SVM
BreastVol,0.0,0.0,CL_UNCORR,SVM
Ratio_Tissue_vol_enhancing_more_than_0percent_from_T1_to_Breast_Vol,0.0,0.0,CL_UNCORR,SVM
PE_map_mean_tissue_T1,0.0,0.0,CL_UNCORR,SVM
PE_map_std_dev_tissue_T1,0.0,0.0,CL_UNCORR,SVM
WashinRate_map_inverse_difference_normalized_tumor,0.0,0.0,CL_UNCORR,SVM
WashinRate_map_inverse_difference_moment_normalized_tissue_T1,0.0,0.0,CL_UNCORR,SVM
WashinRate_map_inverse_difference_normalized_tissue_T1,0.0,0.0,CL_UNCORR,SVM
SER_map_Cluster_Shade_tissue_T1,0.0,0.0,CL_UNCORR,SVM
SER_map_Cluster_Shade_tissue_PostCon,0.0,0.0,CL_UNCORR,SVM
Peak_PE_tissue_PostCon,0.0,0.0,CL_UNCORR,SVM
Peak_PE_tissue_T1,0.0,0.0,CL_UNCORR,SVM
SER_map_Correlation1_tissue_T1,0.0,0.0,CL_UNCORR,SVM
PE_map_Cluster_Shade_tissue_PostCon,0.0,0.0,CL_UNCORR,SVM
PE_map_Dissimilarity_tissue_T1,0.0,0.0,CL_UNCORR,SVM
PE_map_Cluster_Shade_tissue_T1,0.0,0.0,CL_UNCORR,SVM
SER_map_inverse_difference_moment_normalized_tissue_T1,0.0,0.0,CL_UNCORR,SVM
SER_Partial_tissue_vol_cu_mm_T1,0.0,0.0,CL_UNCORR,SVM
Grouping_based_variance_of_washin_slope_3D_tissue_T1_Group_3,0.0,0.0,CL_UNCORR,SVM
Grouping_based_mean_of_washout_slope_3D_tissue_T1_Group_2,0.0,0.0,CL_UNCORR,SVM
SER_map_Correlation1_tissue_PostCon,0.0,0.0,CL_UNCORR,SVM
"F1_DT_POSTCON (T11=0.1,T12=0.8)",0.0,0.0,CL_UNCORR,SVM
"F1_DT_T1NFS (T11=0.1,T12=0.8)",0.0,0.0,CL_UNCORR,SVM
"F1_DT_POSTCON (T11=0.05,T12=0.8)",0.0,0.0,CL_UNCORR,SVM
"F1_DT_T1NFS (T11=0.02,T12=0.5)",0.0,0.0,CL_UNCORR,SVM
"F1_DT_T1NFS (T11=0.05,T12=0.8)",0.0,0.0,CL_UNCORR,SVM
"F1_DT_POSTCON (T11=0.2,T12=0.5)",0.0,0.0,CL_UNCORR,SVM
"F1_DT_T1NFS (T11=0.05,T12=0.5)",0.0,0.0,CL_UNCORR,SVM
"F1_DT_POSTCON (T11=0.02,T12=0.5)",0.0,0.0,CL_UNCORR,SVM
"F1_DT_POSTCON (T11=0.05,T12=0.5)",0.0,0.0,CL_UNCORR,SVM
Autocorrelation_tissue_T1,0.0,0.0,CL_UNCORR,SVM
Autocorrelation_tissue_PostCon,0.0,0.0,CL_UNCORR,SVM
Peak_SER_tissue_T1,0.0,0.0,CL_UNCORR,SVM
PE_map_std_dev_tumor,0.0,0.0,CL_UNCORR,SVM
Sum_entropy_Tumor,0.0,0.0,CL_UNCORR,SVM
WashinRate_map_Cluster_Shade_tumor,0.0,0.0,CL_UNCORR,SVM
WashinRate_map_Dissimilarity_tumor,0.0,0.0,CL_UNCORR,SVM
WashinRate_map_sum_entropy_tumor,0.0,0.0,CL_UNCORR,SVM
WashinRate_map_Correlation1_tumor,0.0,0.0,CL_UNCORR,SVM
PE_map_kurtosis_tumor,0.0,0.0,CL_UNCORR,SVM
WashinRate_map_Energy_tumor,0.0,0.0,CL_UNCORR,SVM
WashinRate_map_sum_average_tumor,0.0,0.0,CL_UNCORR,SVM
WashinRate_map_std_dev_tumor,0.0,0.0,CL_UNCORR,SVM
Margin_Gradient_Tumor,0.0,0.0,CL_UNCORR,SVM
MF_Tumor,0.0,0.0,CL_UNCORR,SVM
SER_Total_tumor_vol_cu_mm,0.0,0.0,CL_UNCORR,SVM
PE_map_mean_tumor,0.0,0.0,CL_UNCORR,SVM
SER_map_std_dev_tumor,0.0,0.0,CL_UNCORR,SVM
SER_map_skewness_tumor,0.0,0.0,CL_UNCORR,SVM
Correlation1_Tumor,0.0,0.0,CL_UNCORR,SVM
Correlation2_Tumor,0.0,0.0,CL_UNCORR,SVM
PE_map_skewness_tumor,0.0,0.0,CL_UNCORR,SVM
WashinRate_map_Correlation2_tumor,0.0,0.0,CL_UNCORR,SVM
WashinRate_map_mean_tumor,0.0,0.0,CL_UNCORR,SVM
BEDR1_Tumor,0.0,0.0,CL_UNCORR,SVM
BEDR2_Tumor,0.0,0.0,CL_UNCORR,SVM
"F1_DT_T1NFS (T11=0.2,T12=0.8)",0.0,0.0,CL_UNCORR,SVM
Inv_Diff_normalized_Tumor,0.0,0.0,CL_UNCORR,SVM
