feature,importance_mean,importance_std,dataset,model
PC4_Combining_Tumor_and_FGT_Enhancement,0.0,0.0,PC_90,SVM
PC2_Breast_and_FGT_Volume_Features,0.0,0.0,PC_90,SVM
PC3_FGT_Enhancement_Variation,0.0,0.0,PC_90,SVM
Peak_SER_tissue_PostCon,0.0,0.0,CL_UNCORR,SVM
tissueVol_PostCon,0.0,0.0,CL_UNCORR,SVM
inverse_difference_moment_normalized_tissue_PostCon,0.0,0.0,CL_UNCORR,SVM
PE_map_skewness_tissue_T1,0.0,0.0,CL_UNCORR,SVM
WashinRate_map_mean_tissue_T1,0.0,0.0,CL_UNCORR,SVM
WashinRate_map_mean_tissue_PostCon,0.0,0.0,CL_UNCORR,SVM
WashinRate_map_Cluster_Shade_tissue_T1,0.0,0.0,CL_UNCORR,SVM
Grouping_based_variance_of_washout_slope_3D_tissue_T1_Group_1,0.0,0.0,CL_UNCORR,SVM
SER_map_Autocorrelation_tissue_T1,0.0,0.0,CL_UNCORR,SVM
SER_map_sum_entropy_tissue_T1,0.0,0.0,CL_UNCORR,SVM
WashinRate_map_std_dev_tissue_T1,0.0,0.0,CL_UNCORR,SVM
Ratio_Tissue_vol_enhancing_more_than_90percent_from_T1_to_Breast_Vol,0.0,0.0,CL_UNCORR,SVM
Ratio_Tissue_vol_enhancing_more_than_90percent_from_PostCon_to_Breast_Vol,0.0,0.0,CL_UNCORR,SVM
"F1_DT_POSTCON (T11=0.2,T12=0.8)",0.0,0.0,CL_UNCORR,SVM
breastDensity_T1,0.0,0.0,CL_UNCORR,SVM
PE_map_Correlation1_tissue_T1,0.0,0.0,CL_UNCORR,SVM
SER_map_std_dev_tissue_T1,0.0,0.0,CL_UNCORR,SVM
SER_map_skewness_tissue_T1,0.0,0.0,CL_UNCORR,SVM
SER_map_kurtosis_tissue_T1,0.0,0.0,CL_UNCORR,SVM
PE_map_Correlation1_tissue_PostCon,0.0,0.0,CL_UNCORR,SVM
SER_map_kurtosis_tissue_PostCon,0.0,0.0,CL_UNCORR,SVM
SER_map_skewness_tissue_PostCon,0.0,0.0,CL_UNCORR,SVM
PE_map_Cluster_Prominence_tissue_PostCon,0.0,0.0,CL_UNCORR,SVM
SER_map_difference_entropy_tissue_T1,0.0,0.0,CL_UNCORR,SVM
SER_map_difference_entropy_tissue_PostCon,0.0,0.0,CL_UNCORR,SVM
PE_map_Autocorrelation_tissue_PostCon,0.0,0.0,CL_UNCORR,SVM
PE_map_difference_entropy_tissue_PostCon,0.0,0.0,CL_UNCORR,SVM
PE_map_Autocorrelation_tissue_T1,0.0,0.0,CL_UNCORR,SVM
PE_map_difference_entropy_tissue_T1,0.0,0.0,CL_UNCORR,SVM
SER_map_Autocorrelation_tissue_PostCon,0.0,0.0,CL_UNCORR,SVM
inverse_difference_normalized_tissue_PostCon,0.0,0.0,CL_UNCORR,SVM
WashinRate_map_skewness_tissue_T1,0.0,0.0,CL_UNCORR,SVM
Uptake_rate_from_char_curv,0.0,0.0,CL_UNCORR,SVM
Ratio_Tissue_vol_enhancing_more_than_100percent_from_T1_to_Tissue_Vol,0.0,0.0,CL_UNCORR,SVM
sum_entropy_tissue_T1,0.0,0.0,CL_UNCORR,SVM
difference_entropy_tissue_T1,0.0,0.0,CL_UNCORR,SVM
WashinRate_map_Correlation1_tissue_T1,0.0,0.0,CL_UNCORR,SVM
WashinRate_map_Correlation1_tissue_PostCon,0.0,0.0,CL_UNCORR,SVM
Correlation1_tissue_T1,0.0,0.0,CL_UNCORR,SVM
Correlation2_tissue_T1,0.0,0.0,CL_UNCORR,SVM
Correlation1_tissue_PostCon,0.0,0.0,CL_UNCORR,SVM
Correlation2_tissue_PostCon,0.0,0.0,CL_UNCORR,SVM
Cluster_Shade_tissue_T1,0.0,0.0,CL_UNCORR,SVM
WashinRate_map_Dissimilarity_tissue_T1,0.0,0.0,CL_UNCORR,SVM
PE_map_kurtosis_tissue_T1,0.0,0.0,CL_UNCORR,SVM
Dissimilarity_tissue_T1,0.0,0.0,CL_UNCORR,SVM
Mean_norm_DLBP_max_timepoint_binsize_256_with_filling_Tumor,0.0,0.0,CL_UNCORR,SVM
Cluster_Prominence_tissue_T1,0.0,0.0,CL_UNCORR,SVM
inverse_difference_moment_normalized_tissue_T1,0.0,0.0,CL_UNCORR,SVM
Energy_tissue_PostCon,0.0,0.0,CL_UNCORR,SVM
WashinRate_map_Energy_tissue_PostCon,0.0,0.0,CL_UNCORR,SVM
PE_map_kurtosis_tissue_PostCon,0.0,0.0,CL_UNCORR,SVM
inverse_difference_normalized_tissue_T1,0.0,0.0,CL_UNCORR,SVM
Mean_norm_DLBP_max_timepoint_binsize_128_with_filling_Tumor,0.0,0.0,CL_UNCORR,SVM
Cluster_Shade_tissue_PostCon,0.0,0.0,CL_UNCORR,SVM
WashinRate_map_Cluster_Shade_tissue_PostCon,0.0,0.0,CL_UNCORR,SVM
WashinRate_map_Dissimilarity_tissue_PostCon,0.0,0.0,CL_UNCORR,SVM
WashinRate_map_kurtosis_tumor,0.0,0.0,CL_UNCORR,SVM
Washout_rate_from_char_curv,0.0,0.0,CL_UNCORR,SVM
WashinRate_map_skewness_tumor,0.0,0.0,CL_UNCORR,SVM
WashinRate_map_kurtosis_tissue_T1,0.0,0.0,CL_UNCORR,SVM
SER_map_sum_entropy_tissue_PostCon,0.0,0.0,CL_UNCORR,SVM
SER_map_std_dev_tissue_PostCon,0.0,0.0,CL_UNCORR,SVM
sum_entropy_tissue_PostCon,0.0,0.0,CL_UNCORR,SVM
Ratio_Tissue_vol_enhancing_more_than_30percent_from_PostCon_to_Breast_Vol,0.0,0.0,CL_UNCORR,SVM
Grouping_based_mean_of_washout_slope_3D_tissue_PostCon_Group_2,0.0,0.0,CL_UNCORR,SVM
SER_Washout_tissue_vol_cu_mm_T1,0.0,0.0,CL_UNCORR,SVM
Grouping_based_mean_of_peak_enhancement_slope_3D_tissue_PostCon_Group_2,0.0,0.0,CL_UNCORR,SVM
Grouping_based_mean_of_peak_enhancement_slope_3D_tissue_T1_Group_2,0.0,0.0,CL_UNCORR,SVM
Grouping_based_mean_of_peak_enhancement_slope_3D_tissue_PostCon_Group_3,0.0,0.0,CL_UNCORR,SVM
Grouping_based_variance_of_peak_enhancement_slope_3D_tissue_PostCon_Group_1,0.0,0.0,CL_UNCORR,SVM
Grouping_based_variance_of_peak_enhancement_slope_3D_tissue_T1_Group_1,0.0,0.0,CL_UNCORR,SVM
Grouping_based_mean_of_peak_enhancement_slope_3D_tissue_T1_Group_3,0.0,0.0,CL_UNCORR,SVM
PE_map_inverse_difference_moment_normalized_tissue_T1,0.0,0.0,CL_UNCORR,SVM
PE_map_inverse_difference_moment_normalized_tissue_PostCon,0.0,0.0,CL_UNCORR,SVM
SER_map_inverse_difference_normalized_tissue_T1,0.0,0.0,CL_UNCORR,SVM
SER_map_inverse_difference_normalized_tissue_PostCon,0.0,0.0,CL_UNCORR,SVM
Ratio_Tissue_vol_enhancing_more_than_10percent_from_PostCon_to_Breast_Vol,0.0,0.0,CL_UNCORR,SVM
Grouping_based_proportion_of_3D_tissue_T1_Group_2,0.0,0.0,CL_UNCORR,SVM
PE_map_mean_tissue_PostCon,0.0,0.0,CL_UNCORR,SVM
Grouping_based_variance_of_washin_slope_3D_tissue_PostCon_Group_2,0.0,0.0,CL_UNCORR,SVM
Grouping_based_proportion_of_tumor_voxels_2D_tumorSlice_Group_2,0.0,0.0,CL_UNCORR,SVM
Grouping_based_variance_of_washin_slope_3D_tissue_T1_Group_2,0.0,0.0,CL_UNCORR,SVM
Ratio_Tissue_vol_enhancing_more_than_30percent_from_PostCon_to_Tissue_Vol,0.0,0.0,CL_UNCORR,SVM
Ratio_Tissue_vol_enhancing_more_than_0percent_from_PostCon_to_Tissue_Vol,0.0,0.0,CL_UNCORR,SVM
Ratio_Tissue_vol_enhancing_more_than_0percent_from_T1_to_Tissue_Vol,0.0,0.0,CL_UNCORR,SVM
Grouping_based_proportion_of_tumor_voxels_2D_tumorSlice_Group_3,0.0,0.0,CL_UNCORR,SVM
Ratio_Tissue_vol_enhancing_more_than_30percent_from_T1_to_Tissue_Vol,0.0,0.0,CL_UNCORR,SVM
Grouping_based_proportion_of_3D_tissue_T1_Group_3,0.0,0.0,CL_UNCORR,SVM
Grouping_based_mean_of_peak_enhancement_slope_3D_tissue_T1_Group_1,0.0,0.0,CL_UNCORR,SVM
Grouping_based_mean_of_washin_slope_3D_tissue_T1_Group_1,0.0,0.0,CL_UNCORR,SVM
2nd_DFT_CoeffMap_Momment_Invariant_3_2D_tumorSlice,0.0,0.0,CL_UNCORR,SVM
2nd_DFT_CoeffMap_Momment_Invariant_4_2D_tumorSlice,0.0,0.0,CL_UNCORR,SVM
Grouping_based_variance_of_washin_slope_3D_tissue_PostCon_Group_3,0.0,0.0,CL_UNCORR,SVM
Ratio_Tissue_vol_enhancing_more_than_90percent_from_T1_to_Tissue_Vol,0.0,0.0,CL_UNCORR,SVM
BreastVol,0.0,0.0,CL_UNCORR,SVM
Ratio_Tissue_vol_enhancing_more_than_0percent_from_T1_to_Breast_Vol,0.0,0.0,CL_UNCORR,SVM
PE_map_mean_tissue_T1,0.0,0.0,CL_UNCORR,SVM
PE_map_std_dev_tissue_T1,0.0,0.0,CL_UNCORR,SVM
WashinRate_map_inverse_difference_normalized_tumor,0.0,0.0,CL_UNCORR,SVM
WashinRate_map_inverse_difference_moment_normalized_tissue_T1,0.0,0.0,CL_UNCORR,SVM
WashinRate_map_inverse_difference_normalized_tissue_T1,0.0,0.0,CL_UNCORR,SVM
SER_map_Cluster_Shade_tissue_T1,0.0,0.0,CL_UNCORR,SVM
SER_map_Cluster_Shade_tissue_PostCon,0.0,0.0,CL_UNCORR,SVM
Peak_PE_tissue_PostCon,0.0,0.0,CL_UNCORR,SVM
Peak_PE_tissue_T1,0.0,0.0,CL_UNCORR,SVM
SER_map_Correlation1_tissue_T1,0.0,0.0,CL_UNCORR,SVM
PE_map_Cluster_Shade_tissue_PostCon,0.0,0.0,CL_UNCORR,SVM
PE_map_Dissimilarity_tissue_T1,0.0,0.0,CL_UNCORR,SVM
PE_map_Cluster_Shade_tissue_T1,0.0,0.0,CL_UNCORR,SVM
SER_map_inverse_difference_moment_normalized_tissue_T1,0.0,0.0,CL_UNCORR,SVM
SER_Partial_tissue_vol_cu_mm_T1,0.0,0.0,CL_UNCORR,SVM
Grouping_based_variance_of_washin_slope_3D_tissue_T1_Group_3,0.0,0.0,CL_UNCORR,SVM
Grouping_based_mean_of_washout_slope_3D_tissue_T1_Group_2,0.0,0.0,CL_UNCORR,SVM
SER_map_Correlation1_tissue_PostCon,0.0,0.0,CL_UNCORR,SVM
"F1_DT_POSTCON (T11=0.1,T12=0.8)",0.0,0.0,CL_UNCORR,SVM
"F1_DT_T1NFS (T11=0.1,T12=0.8)",0.0,0.0,CL_UNCORR,SVM
"F1_DT_POSTCON (T11=0.05,T12=0.8)",0.0,0.0,CL_UNCORR,SVM
"F1_DT_T1NFS (T11=0.02,T12=0.5)",0.0,0.0,CL_UNCORR,SVM
"F1_DT_T1NFS (T11=0.05,T12=0.8)",0.0,0.0,CL_UNCORR,SVM
"F1_DT_POSTCON (T11=0.2,T12=0.5)",0.0,0.0,CL_UNCORR,SVM
"F1_DT_T1NFS (T11=0.05,T12=0.5)",0.0,0.0,CL_UNCORR,SVM
"F1_DT_POSTCON (T11=0.02,T12=0.5)",0.0,0.0,CL_UNCORR,SVM
"F1_DT_POSTCON (T11=0.05,T12=0.5)",0.0,0.0,CL_UNCORR,SVM
Autocorrelation_tissue_T1,0.0,0.0,CL_UNCORR,SVM
Autocorrelation_tissue_PostCon,0.0,0.0,CL_UNCORR,SVM
Peak_SER_tissue_T1,0.0,0.0,CL_UNCORR,SVM
PE_map_std_dev_tumor,0.0,0.0,CL_UNCORR,SVM
Sum_entropy_Tumor,0.0,0.0,CL_UNCORR,SVM
WashinRate_map_Cluster_Shade_tumor,0.0,0.0,CL_UNCORR,SVM
WashinRate_map_Dissimilarity_tumor,0.0,0.0,CL_UNCORR,SVM
WashinRate_map_sum_entropy_tumor,0.0,0.0,CL_UNCORR,SVM
WashinRate_map_Correlation1_tumor,0.0,0.0,CL_UNCORR,SVM
PE_map_kurtosis_tumor,0.0,0.0,CL_UNCORR,SVM
WashinRate_map_Energy_tumor,0.0,0.0,CL_UNCORR,SVM
WashinRate_map_sum_average_tumor,0.0,0.0,CL_UNCORR,SVM
WashinRate_map_std_dev_tumor,0.0,0.0,CL_UNCORR,SVM
Margin_Gradient_Tumor,0.0,0.0,CL_UNCORR,SVM
MF_Tumor,0.0,0.0,CL_UNCORR,SVM
SER_Total_tumor_vol_cu_mm,0.0,0.0,CL_UNCORR,SVM
PE_map_mean_tumor,0.0,0.0,CL_UNCORR,SVM
SER_map_std_dev_tumor,0.0,0.0,CL_UNCORR,SVM
SER_map_skewness_tumor,0.0,0.0,CL_UNCORR,SVM
Correlation1_Tumor,0.0,0.0,CL_UNCORR,SVM
Correlation2_Tumor,0.0,0.0,CL_UNCORR,SVM
PE_map_skewness_tumor,0.0,0.0,CL_UNCORR,SVM
WashinRate_map_Correlation2_tumor,0.0,0.0,CL_UNCORR,SVM
WashinRate_map_mean_tumor,0.0,0.0,CL_UNCORR,SVM
BEDR1_Tumor,0.0,0.0,CL_UNCORR,SVM
BEDR2_Tumor,0.0,0.0,CL_UNCORR,SVM
"F1_DT_T1NFS (T11=0.2,T12=0.8)",0.0,0.0,CL_UNCORR,SVM
Inv_Diff_normalized_Tumor,0.0,0.0,CL_UNCORR,SVM
Volume_cu_mm_Tumor,0.0,0.0,CL_UNCORR,SVM
ASD_Tumor,0.0,0.0,CL_UNCORR,SVM
"F1_DT_T1NFS (T11=0.2,T12=0.5)",0.0,0.0,CL_UNCORR,SVM
Median_solidity_Tumor,0.0,0.0,CL_UNCORR,SVM
Autocorrelation_Tumor,0.0,0.0,CL_UNCORR,SVM
Mean_norm_DLBP_max_timepoint_binsize_64_with_filling_Tumor,0.0,0.0,CL_UNCORR,SVM
Mean_norm_DHOG_max_timepoint_binsize_8_without_filling_Tumor,0.0,0.0,CL_UNCORR,SVM
WashinRate_map_Autocorrelation_tumor,0.0,0.0,CL_UNCORR,SVM
SER_map_mean_tissue_T1,0.0,0.0,CL_UNCORR,SVM
SER_map_mean_tissue_PostCon,0.0,0.0,CL_UNCORR,SVM
SER_map_Correlation2_tissue_T1,0.0,0.0,CL_UNCORR,SVM
SER_map_Correlation2_tissue_PostCon,0.0,0.0,CL_UNCORR,SVM
Peak_SER_tumor,0.0,0.0,CL_UNCORR,SVM
SER_map_mean_tumor,0.0,0.0,CL_UNCORR,SVM
2nd_DFT_CoeffMap_Momment_Invariant_4_3D_tumor,0.0,0.0,CL_UNCORR,SVM
1st_DFT_CoeffMap_Momment_Invariant_7_2D_tumorSlice,0.0,0.0,CL_UNCORR,SVM
2nd_DFT_CoeffMap_Momment_Invariant_3_3D_tumor,0.0,0.0,CL_UNCORR,SVM
1st_DFT_CoeffMap_Momment_Invariant_6_2D_tumorSlice,0.0,0.0,CL_UNCORR,SVM
2nd_DFT_CoeffMap_Momment_Invariant_1_2D_tumorSlice,0.0,0.0,CL_UNCORR,SVM
2nd_DFT_CoeffMap_Momment_Invariant_2_2D_tumorSlice,0.0,0.0,CL_UNCORR,SVM
1st_DFT_CoeffMap_Momment_Invariant_3_2D_tumorSlice,0.0,0.0,CL_UNCORR,SVM
1st_DFT_CoeffMap_Momment_Invariant_1_2D_tumorSlice,0.0,0.0,CL_UNCORR,SVM
1st_DFT_CoeffMap_Momment_Invariant_4_2D_tumorSlice,0.0,0.0,CL_UNCORR,SVM
1st_DFT_CoeffMap_Momment_Invariant_1_3D_tumor,0.0,0.0,CL_UNCORR,SVM
1st_DFT_CoeffMap_Momment_Invariant_5_3D_tumor,0.0,0.0,CL_UNCORR,SVM
EnhancementClusterDiscontinuity_Tumor,0.0,0.0,CL_UNCORR,SVM
1st_DFT_CoeffMap_Momment_Invariant_7_3D_tumor,0.0,0.0,CL_UNCORR,SVM
EnhancementClusterNeighborhoodSimilarity_Tumor,0.0,0.0,CL_UNCORR,SVM
TumorMajorAxisLength_mm,0.0,0.0,CL_UNCORR,SVM
BEVR_Tumor,0.0,0.0,CL_UNCORR,SVM
Inv_diff_moment_normalized_Tumor,0.0,0.0,CL_UNCORR,SVM
SER_map_Correlation2_tumor,0.0,0.0,CL_UNCORR,SVM
PE_map_Correlation2_tumor,0.0,0.0,CL_UNCORR,SVM
SER_map_sum_entropy_tumor,0.0,0.0,CL_UNCORR,SVM
PE_map_sum_entropy_tumor,0.0,0.0,CL_UNCORR,SVM
Diff_entropy_Tumor,0.0,0.0,CL_UNCORR,SVM
SER_map_kurtosis_tumor,0.0,0.0,CL_UNCORR,SVM
PE_map_sum_entropy_tissue_PostCon,0.0,0.0,CL_UNCORR,SVM
Grouping_based_variance_of_washout_slope_3D_tumor_Group_1,0.0,0.0,CL_UNCORR,SVM
Grouping_based_variance_of_washin_slope_2D_tumorSlice_Group_2,0.0,0.0,CL_UNCORR,SVM
Enhancement_variance_increasing_rate_Tumor,0.0,0.0,CL_UNCORR,SVM
Grouping_based_proportion_of_tumor_voxels_3D_tumor_Group_2,0.0,0.0,CL_UNCORR,SVM
Median_Elongation_Tumor,0.0,0.0,CL_UNCORR,SVM
Max_Enhancement_from_char_curv,0.0,0.0,CL_UNCORR,SVM
Grouping_based_variance_of_washin_slope_3D_tumor_Group_3,0.0,0.0,CL_UNCORR,SVM
Grouping_based_variance_of_washin_slope_2D_tumorSlice_Group_3,0.0,0.0,CL_UNCORR,SVM
Enhancement_variance_decreasing_rate_Tumor,0.0,0.0,CL_UNCORR,SVM
PE_map_inverse_difference_normalized_tumor,0.0,0.0,CL_UNCORR,SVM
Grouping_based_proportion_of_tumor_voxels_3D_tumor_Group_3,0.0,0.0,CL_UNCORR,SVM
Grouping_based_mean_of_peak_enhancement_slope_3D_tumor_Group_1,0.0,0.0,CL_UNCORR,SVM
Time_to_Peak_from_char_curv,0.0,0.0,CL_UNCORR,SVM
Grouping_based_proportion_of_tumor_voxels_3D_tumor_Group_1,0.0,0.0,CL_UNCORR,SVM
SER_map_inverse_difference_normalized_tumor,0.0,0.0,CL_UNCORR,SVM
PE_map_Correlation1_tumor,0.0,0.0,CL_UNCORR,SVM
Median_Euler_No_Tumor,0.0,0.0,CL_UNCORR,SVM
Grouping_based_variance_of_washout_slope_3D_tumor_Group_2,0.0,0.0,CL_UNCORR,SVM
Grouping_based_variance_of_washout_slope_3D_tissue_T1_Group_2,0.0,0.0,CL_UNCORR,SVM
Grouping_based_variance_of_washout_slope_3D_tissue_PostCon_Group_2,0.0,0.0,CL_UNCORR,SVM
Grouping_based_proportion_of_3D_tissue_T1_Group_1,0.0,0.0,CL_UNCORR,SVM
