"group","variable","loading_factor"
"Combining_Tumor_and_FGT_Enhancement",0.278472378557653,0.278472378557653
"Combining_Tumor_and_FGT_Enhancement",0.274342498490119,0.274342498490119
"Combining_Tumor_and_FGT_Enhancement",0.274058368143487,0.274058368143487
"Combining_Tumor_and_FGT_Enhancement",0.269292069927035,0.269292069927035
"Tumor_Size_and_Morphology",0.403561036280346,0.403561036280346
"Tumor_Size_and_Morphology",0.387481951618913,0.387481951618913
"Tumor_Size_and_Morphology",0.361413091854005,0.361413091854005
"Tumor_Enhancement_Texture",0.138443218851714,0.138443218851714
"Tumor_Enhancement_Texture",0.13839222928741,0.13839222928741
"Tumor_Enhancement_Texture",0.135608494558351,0.135608494558351
"Tumor_Enhancement_Texture",0.134890064391067,0.134890064391067
"Tumor_Enhancement_Texture",0.132891209394393,0.132891209394393
"Tumor_Enhancement_Texture",0.13180403704456,0.13180403704456
"Tumor_Enhancement_Texture",0.131180113077028,0.131180113077028
"Tumor_Enhancement_Spatial_Heterogeneity",0.564330198937807,0.564330198937807
"Tumor_Enhancement_Spatial_Heterogeneity",0.519959396838402,0.519959396838402
"Tumor_Enhancement_Variation",0.354612734013125,0.354612734013125
"Tumor_Enhancement_Variation",0.336048672660928,0.336048672660928
"Tumor_Enhancement_Variation",0.335401835742176,0.335401835742176
"Breast_and_FGT_Volume_Features",0.598379941715329,0.598379941715329
"Breast_and_FGT_Volume_Features",0.597970999845802,0.597970999845802
"FGT_Enhancement",0.149495187569743,0.149495187569743
"FGT_Enhancement",0.149191711207881,0.149191711207881
"FGT_Enhancement",0.149080068282202,0.149080068282202
"FGT_Enhancement",0.14906167723054,0.14906167723054
"FGT_Enhancement",0.14905214619571,0.14905214619571
"FGT_Enhancement",0.148612398883423,0.148612398883423
"FGT_Enhancement",0.148313449523604,0.148313449523604
"Tumor_Enhancement",0.277940574079549,0.277940574079549
"Tumor_Enhancement",0.268155134740486,0.268155134740486
"Tumor_Enhancement",0.265134832049061,0.265134832049061
"Tumor_Enhancement",0.2530713884078,0.2530713884078
"FGT_Enhancement_Texture",0.115198821004506,0.115198821004506
"FGT_Enhancement_Texture",0.115060367434539,0.115060367434539
"FGT_Enhancement_Texture",0.115060367434539,0.115060367434539
"FGT_Enhancement_Texture",0.11481342749574,0.11481342749574
"FGT_Enhancement_Texture",0.113719032047524,0.113719032047524
"FGT_Enhancement_Texture",0.113535666510769,0.113535666510769
"FGT_Enhancement_Texture",0.112302379450932,0.112302379450932
"FGT_Enhancement_Texture",0.112239446831861,0.112239446831861
"FGT_Enhancement_Variation",0.238051199414778,0.238051199414778
"FGT_Enhancement_Variation",0.234198312083658,0.234198312083658
"FGT_Enhancement_Variation",0.23408179220861,0.23408179220861
"FGT_Enhancement_Variation",0.232703913016986,0.232703913016986
