,feature,importance_mean,importance_std,dataset,model
262,WashinRate_map_sum_entropy_tissue_PostCon,0.0,0.0,CL_UNCORR,SVM
263,Grouping_based_variance_of_washin_slope_3D_tumor_Group_2,0.0,0.0,CL_UNCORR,SVM
264,Variance_of_Uptake_Tumor,0.0,0.0,CL_UNCORR,SVM
265,Grouping_based_mean_of_washout_slope_3D_tumor_Group_1,0.0,0.0,CL_UNCORR,SVM
266,Grouping_based_mean_of_peak_enhancement_slope_3D_tumor_Group_2,0.0,0.0,CL_UNCORR,SVM
267,PE_map_difference_entropy_tumor,0.0,0.0,CL_UNCORR,SVM
268,PE_map_Autocorrelation_tumor,0.0,0.0,CL_UNCORR,SVM
269,Grouping_based_proportion_of_3D_tissue_PostCon_Group_2,0.0,0.0,CL_UNCORR,SVM
270,PE_map_Cluster_Shade_tumor,0.0,0.0,CL_UNCORR,SVM
271,PE_map_Dissimilarity_tumor,0.0,0.0,CL_UNCORR,SVM
272,globalMoransIEnhancementVarianceMap_Tumor,0.0,0.0,CL_UNCORR,SVM
273,globalMoransISERMap_Tumor,0.0,0.0,CL_UNCORR,SVM
274,SER_Partial_tumor_vol_cu_mm,0.0,0.0,CL_UNCORR,SVM
275,SER_map_inverse_difference_moment_normalized_tumor,0.0,0.0,CL_UNCORR,SVM
276,Peak_PE_tumor,0.0,0.0,CL_UNCORR,SVM
277,SER_map_Correlation1_tumor,0.0,0.0,CL_UNCORR,SVM
278,Grouping_based_proportion_of_3D_tissue_PostCon_Group_3,0.0,0.0,CL_UNCORR,SVM
279,SER_map_Cluster_Shade_tumor,0.0,0.0,CL_UNCORR,SVM
280,SER_map_Dissimilarity_tumor,0.0,0.0,CL_UNCORR,SVM
281,SER_map_difference_entropy_tumor,0.0,0.0,CL_UNCORR,SVM
282,Grouping_based_mean_of_peak_enhancement_slope_2D_tumorSlice_Group_2,0.0,0.0,CL_UNCORR,SVM
283,Grouping_based_mean_of_washout_slope_2D_tumorSlice_Group_1,0.0,0.0,CL_UNCORR,SVM
284,Grouping_based_mean_of_peak_enhancement_slope_3D_tumor_Group_3,0.0,0.0,CL_UNCORR,SVM
