Unnamed: 0,Grouping_based_variance_of_peak_enhancement_slope_3D_tissue_T1_Group_1,Grouping_based_variance_of_peak_enhancement_slope_3D_tissue_T1_Group_2,Grouping_based_variance_of_peak_enhancement_slope_3D_tissue_T1_Group_3,Grouping_based_variance_of_washin_slope_3D_tissue_T1_Group_1,Grouping_based_variance_of_washin_slope_3D_tissue_T1_Group_2,Grouping_based_variance_of_washin_slope_3D_tissue_T1_Group_3,Grouping_based_variance_of_washout_slope_3D_tissue_T1_Group_1,Grouping_based_variance_of_washout_slope_3D_tissue_T1_Group_2,Grouping_based_variance_of_peak_enhancement_slope_3D_tissue_PostCon_Group_1,Grouping_based_variance_of_peak_enhancement_slope_3D_tissue_PostCon_Group_2,Grouping_based_variance_of_peak_enhancement_slope_3D_tissue_PostCon_Group_3,Grouping_based_variance_of_washin_slope_3D_tissue_PostCon_Group_1,Grouping_based_variance_of_washin_slope_3D_tissue_PostCon_Group_2,Grouping_based_variance_of_washin_slope_3D_tissue_PostCon_Group_3,Grouping_based_variance_of_washout_slope_3D_tissue_PostCon_Group_1,Grouping_based_variance_of_washout_slope_3D_tissue_PostCon_Group_2,SER_map_std_dev_tissue_T1,SER_map_skewness_tissue_T1,SER_map_kurtosis_tissue_T1,PE_map_std_dev_tissue_T1,PE_map_skewness_tissue_T1,PE_map_kurtosis_tissue_T1,WashinRate_map_std_dev_tissue_T1,WashinRate_map_skewness_tissue_T1,WashinRate_map_kurtosis_tissue_T1,SER_map_std_dev_tissue_PostCon,SER_map_skewness_tissue_PostCon,SER_map_kurtosis_tissue_PostCon,PE_map_std_dev_tissue_PostCon,PE_map_skewness_tissue_PostCon,PE_map_kurtosis_tissue_PostCon,WashinRate_map_std_dev_tissue_PostCon,WashinRate_map_skewness_tissue_PostCon,WashinRate_map_kurtosis_tissue_PostCon
-1.7311876897737346,-0.6113662256151432,-0.839498078782577,-0.6979242656754903,-0.6113662256151432,-0.8635518961632774,-0.742620033226355,-0.5980204645640692,-0.8370873215753598,-0.41676966234876234,-0.3759930329378529,-0.32370234099752754,-0.41676966234876234,-0.3780163580884191,-0.33374149150149296,-0.42255096991646507,-0.3896695859858144,-1.395000453132132,0.02147124455040916,-0.7833371364517304,-1.2666548427620943,-1.051643239325816,-0.5723799934085547,-0.9566615323139978,-0.37017321472752485,-0.083172772998796,-1.211070713008408,0.06779556378604625,-0.5573326152783282,-0.846147549458704,-0.8250009738044589,-0.47955110407971835,-0.9127460729189535,0.031526988624061246,-0.08213227309369339
-1.7274287541579754,-0.4738916181571322,-0.5362390957790685,-0.21527617557671244,-0.4738916181571322,-0.46757144957630575,-0.01761458009903331,-0.41850531473729163,-0.4709867338920896,-0.4129950621447248,-0.3727317497194763,-0.2813392582873364,-0.4129950621447248,-0.3695029034436833,-0.26530301743866214,-0.41080906865170036,-0.3789697067512981,0.013278029349826454,0.36061511698858123,-0.09987806533050976,-0.4834812128164006,0.6892824783042676,0.22759047438347144,-0.3752949746390328,-0.9782989451897017,-0.20642912131139543,-0.13895678346706736,0.276724389300257,-0.1214447699625024,-0.7019557054600493,1.3645511650778226,1.095559567237982,-0.4348411440825667,-1.2885881213500878,-0.08215591040263322
-1.7236698185422161,1.5958130641371522,1.6712233793525475,0.6937157418757095,1.5958130641371522,1.3662248979611618,0.4033866242109184,1.1103941236740935,2.4181516425210825,1.0231922884331808,-0.13138899651673439,-0.27531355383716527,1.0231922884331808,-0.21943896852897402,-0.294901603836256,1.191506875522201,0.11787800533988345,1.528265831011276,1.274762310558827,3.096140246362736,1.6945188213671012,1.203508788048154,1.2586719066309149,-0.16906966768311504,0.5339067957362508,0.06585997213658461,1.515651657279033,0.5799248232681277,1.3383870181161017,1.1036380909977108,1.1264314810194567,0.6930681540444991,-0.09392173110727496,0.32244368586154926,-0.08213166445640317
-1.7199108829264569,0.3744171561002236,0.2822518522438147,0.1472378060439191,0.3744171561002236,0.5712098629730287,0.5131017725938366,1.1538990532627915,1.465444344088622,0.30999551052029795,0.13417011620685412,0.0036690960755702074,0.30999551052029795,0.2432967733906945,0.14139147584637554,0.9717735526761682,0.8567583116929982,1.0645114675476195,0.04404770541717942,-0.5474506539197512,1.0304460614702704,-0.3846002286049172,-0.4385505547015623,-0.5806155187981663,-0.7268237440583567,-0.1629173510977474,1.572766606834105,-0.048226050251290245,-0.5014426889441814,1.1749139832201112,-0.6669125010120232,-0.4782514102352682,-0.5457070956572866,-0.4050844943826656,-0.08214425572473621
-1.7161519473106976,-0.6144693277064707,-0.8471774398251031,-0.7176044230982856,-0.6144693277064707,-0.8621963894492207,-0.7530174304592581,-0.5963007533829798,-0.8476622439706187,-0.4194795756721499,-0.37805771865148624,-0.3307904369132974,-0.4194795756721499,-0.37594153044380557,-0.33586769291489177,-0.4218355571423442,-0.39761985657717536,-1.3990728816144509,-0.014174000879773146,-0.7006807742717692,-1.3350190036264824,-1.0417478267065272,-0.5060534211446338,-0.8690181782040337,-0.4917052294239141,-0.2339843931158801,-1.2220555754726528,0.0691353669078816,-0.5108846264491355,-0.9054651009721929,-1.0864838003934065,-0.5227777259104444,-0.8630931681101726,-0.5835974975919186,-0.08216137184583285
-1.7123930116949384,0.07422033773668926,0.25862438981740415,-0.12664754837173908,0.07422033773668926,0.1359865676391203,-0.2721773054256291,-0.16629902241439568,-0.27739291176605524,0.23060557369077198,0.1903474779763165,0.02664083507064604,0.23060557369077198,0.21839472988905761,-0.05253399692893503,0.08739283654591165,-0.14006038310118543,1.3185906246737245,-1.3827101962002686,1.0851018018246377,0.2894719057681049,0.9392294401942582,0.44810769211903506,1.0594442477997266,-0.44392398885942835,-0.19488957226105366,0.6701653265849288,0.2459341086417851,1.57770887133875,0.5385107857561248,1.0883772331668862,0.6351876034780913,0.8332553147560867,-0.5556294946205078,-0.08215720550865592
-1.7086340760791794,-0.5575249642012433,-0.8063104439713795,-0.6928694409094159,-0.5575249642012433,-0.8103303649129395,-0.7168056974041246,-0.46330788896022107,-0.7889836011791563,-0.4060218957352647,-0.3779197227446075,-0.33132133899225835,-0.4060218957352647,-0.37577470555554987,-0.33662526703046314,-0.38479783762494973,-0.3971869389143043,-1.4687319382405084,0.07259036510542145,-0.5201436466506854,-1.1498547684753897,-0.053458698375237,-0.13689614582586632,-0.8844225380257221,-0.26484564323472937,-0.23189965684361666,-1.3945436823564659,0.6926915441780985,-0.1749473516987624,-0.9098391652679393,0.8261183925235467,0.7187459766515379,-0.8745196947010965,-0.5530195132358965,-0.08216251551633345
-1.7048751404634201,-0.603730648069018,-0.8088234180441249,-0.6722278100684134,-0.603730648069018,-0.8346820294550165,-0.7214591661641393,-0.5970805887443985,-0.8391189945707024,-0.4172449090438962,-0.3672091241238093,-0.3137519361891242,-0.4172449090438962,-0.3700030280384142,-0.3257546700153245,-0.42450630638922326,-0.39820827597083025,-1.2628497126855742,-0.049079520716915,-0.7683962109267033,-1.0732512555894103,-0.8520374887806732,-0.5339404331948922,-0.9299492129455814,-0.7927554303142078,-0.12799351563828315,-1.203612447894316,-0.026434941378717335,-0.5629036673877171,-0.7827134921997141,-0.7806503126344555,-0.47567474276934013,-0.9305504603509637,-0.804895903146482,-0.08214053057152315
-1.701116204847661,-0.05385506302238286,-0.1551096978054946,-0.2938892893395029,-0.05385506302238286,0.01613591118861654,-0.13270328598426417,0.012022382246147616,-0.37876028568472747,-0.17264049900386663,-0.2552070386086442,-0.2390313034059504,-0.17264049900386663,-0.22742588651031392,-0.20493141075059385,-0.13855974315259734,-0.24944614995684566,0.08612768472753485,-0.3764120643414048,0.09515242675395409,0.2546409840659757,0.11349098778269329,-0.16695201050469305,-0.45052240434652707,-0.27346669295438175,-0.16378992525168046,0.1147971780756182,-0.5686110982374701,-0.15425691915104225,-0.027670214140297616,-0.045514877103002886,-0.23558300208100927,-0.46412638087396973,-0.15876634646603618,-0.08214506364110732
-1.6973572692319017,-0.02862868840726806,0.5626953262642009,0.069032866085216,-0.02862868840726806,0.9271324797624863,0.39861062852292767,0.1396223248376924,0.6998375682599873,0.12444288425060254,0.47647763866954335,0.05248704234547602,0.12444288425060254,0.6571163965632751,0.21105255636394887,-0.186596767444878,1.0751741576033933,0.4027055389654282,0.4900807114580041,0.0368769093270042,0.5476059957469034,0.6872717847924286,0.31661052427254394,0.7612536527807554,0.6187682348693705,-0.0038679453701124587,0.17964122558804688,1.3918836869132667,0.11329378454163429,0.6450013515979484,0.38372798528300667,-0.05473965591205112,0.891559803979109,0.3310896919608981,-0.08214432149009028
