Unnamed: 0,TumorMajorAxisLength_mm,BEVR_Tumor,BEDR1_Tumor,BEDR2_Tumor,MF_Tumor,ASD_Tumor,Volume_cu_mm_Tumor,Median_solidity_Tumor,Median_Elongation_Tumor,Median_Euler_No_Tumor
-1.72590877043137,-0.3585512552069184,-0.009130435729711199,0.809588544903592,-0.2904802641240607,-0.7470720660416127,-1.0781161128552739,-0.18464924457310147,0.8176310458906744,-0.7290649789515988,-0.646930755344327
-1.7221523275676889,-0.0745543002696229,-1.2456244638610998,-1.1385625518602915,-0.8345932892783343,0.1457615295437151,1.25649339667903,-0.36031920470935597,-1.5811697710179435,1.8027463022828978,0.5060991709509866
-1.7183958847040077,0.14530472932292918,-1.1883482540828074,-2.0665610942785517,0.6022451720393498,2.148496166320908,2.2014441101491573,-0.3122104599044703,-1.1343803989057297,0.18748005345374608,0.5060991709509866
-1.7146394418403266,-0.8416270727410895,0.9442517437774527,0.5874154146411916,0.13429295722840195,-0.2850291321832002,-0.6289277657808504,-0.39291246848902955,1.0535641432719833,0.2714662168814116,-0.542109852953844
-1.7108829989766454,-0.16769404294084875,-0.2818872954384817,-0.9242379598049008,0.17799064796439507,-0.2809098224942121,-0.9607401704775228,0.0006100348850127823,-0.0020526654502581367,-0.4626312841823835,-0.33246804817287784
-1.7071265561129643,-0.37123774588131436,0.15515075746501836,0.12204153603301149,0.4722207601227485,-0.07836116264463933,0.47596387204897117,-0.39895267656045524,-1.2953003140957449,0.7977533417574261,0.1916364637795374
-1.703370113249283,-0.833145228464385,1.3589847747275559,-0.42956348658102894,0.577821728740339,-0.7961061457710322,-0.9456119775288387,-0.39013269717346194,1.031057179609224,0.3016103359442043,-0.542109852953844
-1.6996136703856017,-0.38256358565449017,-0.4258894808303914,0.16036322515277132,0.5233612683809457,-0.48395971774382984,1.0594482037276052,-0.3926918047727324,-0.1496367156557964,-0.08433527454243024,-0.33246804817287784
-1.6958572275219206,0.21439552159161349,-0.9678263588827615,0.408186765477844,0.009913625575797511,0.9025147291464486,0.2619771919585579,-0.19651667283867652,-0.542261012019598,0.9450469509755693,-0.12282624339191171
-1.6921007846582394,0.08960958390478632,0.0047456501126341985,0.6870880329077222,0.6136640995373361,-0.1951938382666273,-0.8656577195083094,0.10352210006628927,-0.03933016297009318,-0.8431260564315112,-0.43728895056336087
-1.6883443417945583,0.7177234865912907,-1.4211544824698168,-0.26037223670884324,-0.029695924670088417,1.6268131941614297,1.8957400880730615,-0.08820371056336844,-1.7884092931516935,0.2132435183664296,2.1832336091987155
-1.6845878989308771,3.2974177515049474,-1.1979613479895184,-0.6997952354719956,-0.08147414234308722,0.7522271339427073,3.1931899682588214,3.8478769119644296,-1.5721374332155753,0.7923878884918033,2.812159023541614
-1.680831456067196,0.4299710270442348,-0.9755815631742027,0.7073150004150578,0.3448144616678126,1.4665758361454695,1.1983792426955426,0.5720147206578047,-0.9772955152203191,0.16089784797115825,0.7157409757319527
-1.6770750132035148,-0.8963303385345498,1.2801851488005918,1.1368156712638287,0.39582626132241916,-0.48308565092097605,-0.37785319807411816,-0.39699800561153537,1.3004763114177298,-0.6789961744323929,-0.542109852953844
-1.6733185703398337,-0.4678789051800921,0.5600139042228619,0.3703039253122322,0.5416932782564907,0.2101484616368527,-0.028820551085637094,-0.29826281982916003,0.2816026714677856,-0.9320774543899237,-0.33246804817287784
-1.6695621274761525,0.5070218088044276,-0.5036888470136468,0.09662020554467847,-0.29218506601668787,-0.702959537075018,-1.0018936753063115,1.0357109691887396,-0.21755284480953163,-0.6263419624781367,0.08681556138905439
-1.6658056846124711,-0.8045238658875901,0.7733547008125677,0.7488431127394463,0.9835746398525763,-1.021852100608628,-1.1779532145192262,-0.3839650676571686,1.1001844568495633,-0.720153716169161,-0.542109852953844
-1.66204924174879,1.1942023102413357,-1.1442901548186337,-1.3903314700589924,-2.4666962660568172,1.5626620344273863,2.626605356996125,-0.23324277412862024,-1.5201275062952475,1.704968874463659,1.135024585293885
-1.6582927988851088,0.12427343237789334,0.39256741215287294,-0.1625571881020701,0.4558995964537757,-0.748058257908317,-0.5337789489729536,0.10796445563250708,0.515080797152197,0.7461885496240896,-0.542109852953844
-1.6545363560214277,-0.7294530699918979,1.0566276169760107,2.2778053806198812,1.5999006990317652,0.8229395386807904,2.290895493671358,-0.3678165239063968,0.9106089994469209,-0.8070921900591367,-0.542109852953844
-1.6507799131577465,-0.3711138130298552,-0.0959601430534241,0.0513473833200726,-0.41734439407239865,-0.8605474272258142,-0.8071240166377479,-0.2791336215290414,0.0863229313190857,-0.21001987056604327,-0.12282624339191171
-1.6470234702940654,-0.4798280419792916,-0.04986366854299341,-0.543578879901086,-0.37708915386885666,0.2424605465482786,-0.5326371772885043,-0.2369087937468571,0.766605073498861,-0.6091954173617172,-0.542109852953844
-1.6432670274303842,-0.2958710230399336,-0.41805282023105544,-0.5871347095909963,-1.0992870878769545,-0.801079578206022,-0.871629913794874,-0.22203456380524567,0.4241448226307563,-0.09362159776449991,-0.542109852953844
