Unnamed: 0,Grouping_based_mean_of_peak_enhancement_slope_3D_tumor_Group_1,Grouping_based_mean_of_peak_enhancement_slope_3D_tumor_Group_2,Grouping_based_mean_of_peak_enhancement_slope_3D_tumor_Group_3,Grouping_based_mean_of_washin_slope_3D_tumor_Group_1,Grouping_based_mean_of_washin_slope_3D_tumor_Group_2,Grouping_based_mean_of_washin_slope_3D_tumor_Group_3,Grouping_based_mean_of_washout_slope_3D_tumor_Group_1,Grouping_based_mean_of_washout_slope_3D_tumor_Group_2,Grouping_based_proportion_of_tumor_voxels_3D_tumor_Group_1,Grouping_based_proportion_of_tumor_voxels_3D_tumor_Group_2,Grouping_based_proportion_of_tumor_voxels_3D_tumor_Group_3,Grouping_based_mean_of_peak_enhancement_slope_2D_tumorSlice_Group_1,Grouping_based_mean_of_peak_enhancement_slope_2D_tumorSlice_Group_2,Grouping_based_mean_of_peak_enhancement_slope_2D_tumorSlice_Group_3,Grouping_based_mean_of_washin_slope_2D_tumorSlice_Group_1,Grouping_based_mean_of_washin_slope_2D_tumorSlice_Group_2,Grouping_based_mean_of_washin_slope_2D_tumorSlice_Group_3,Grouping_based_mean_of_washout_slope_2D_tumorSlice_Group_1,Grouping_based_mean_of_washout_slope_2D_tumorSlice_Group_2,Grouping_based_proportion_of_tumor_voxels_2D_tumorSlice_Group_1,Grouping_based_proportion_of_tumor_voxels_2D_tumorSlice_Group_2,Grouping_based_proportion_of_tumor_voxels_2D_tumorSlice_Group_3,SER_Total_tumor_vol_cu_mm,SER_Partial_tumor_vol_cu_mm,SER_Washout_tumor_vol_cu_mm,Peak_SER_tumor,Peak_PE_tumor,SER_map_mean_tumor,PE_map_mean_tumor,WashinRate_map_mean_tumor
-1.7320387295060387,0.07722743208377242,0.1296249116153164,0.09154932439887001,0.07722743208377242,-0.06695606080199176,-0.11484772797599103,0.04111567326232414,0.358487767275819,1.8311925411173555,-0.9219038478542286,-1.0366780417654406,0.2048926448766968,-0.010201290836182347,0.03792004023712366,0.2048926448766968,-0.18782061677020767,-0.06387085943796197,0.17763078922259423,0.11818140428008275,1.6052601066531738,-0.8173956731115346,-0.9010072795634163,-0.17298017002168098,-0.05074045212411489,0.2018019778163041,-0.5354330354899203,-0.26484035035145626,0.8891016801151023,0.3338978926411961,-0.802827189962269
-1.728277936335191,-1.0335886933454261,-0.8397340918803292,0.9372602522985775,-1.0335886933454261,-0.7293908241275391,1.4099382922831118,0.1665887605371677,0.4690855105892962,-0.32590276563387055,0.3018877275633189,0.08114244180517262,-1.0045140674928492,-0.3572177381940809,0.40059136835015907,-1.0045140674928492,-0.27442849576936224,0.6535866841038982,-0.17603044357564665,0.1308360929369554,-0.2757791917762156,-0.6234659844307696,0.7444881784432356,-0.3855333891454076,-0.3789346577873392,-0.30745343731694796,-0.06564300543449839,0.4766092891010784,-0.6541834510106618,-0.4758929743525701,-0.6247682742763658
-1.7245171431643436,0.49589146480399576,-0.044477645352207044,-0.29681901719423187,0.49589146480399576,-0.3060263792663416,-0.4736317700787908,0.2641415263761503,-0.4678888303517235,-0.07327832190979203,-0.7528517924963977,0.633779932039692,0.5516316174029018,-0.12678297917809372,-0.18880626569742015,0.5516316174029018,-0.36877178795259336,-0.28418758612717787,0.256116396678139,-0.6223617439103016,-0.36357288178353475,-0.7836280054259644,0.9519149804316556,-0.31796902259544796,-0.34119986020927556,-0.2803142252861717,-0.33891822519846115,-0.2266007663419282,-0.23823260913793484,-0.1724913233611369,-0.1732062401340682
-1.7169955568226485,-0.5146093331152003,-0.5048300075870233,-0.47890365953421676,-0.5146093331152003,-0.3680256459582285,-0.33444355059403674,-0.5235982075189455,-0.3810892300641555,-0.9476144627804365,0.8078261217521143,0.28840415208288395,-0.3033357019165465,-0.40506842590517267,-0.24738506286237538,-0.3033357019165465,-0.3332296959668712,-0.18595739795905228,-0.4555465488180744,-0.3381901776752384,-1.0264480233671562,0.6035122381840733,0.5137183918615711,0.005287384905542594,-0.13050397932928248,-0.31772347329721784,-0.5144666672246981,-0.4441832578345217,-0.44650529495418395,-0.5727140293273509,-0.7594992742511915
-1.713234763651801,0.5459765597158807,1.1144300502277913,0.5652974509104082,0.5459765597158807,0.8089737480876545,0.3228122189475989,-0.460574310791139,0.5444224985718181,-0.9111537573446485,1.3469223122578091,-0.15031764539138104,0.47866865041367057,0.9340995025723982,-0.17487919604955476,0.47866865041367057,0.7202426416424257,-0.2706542363707709,-0.44264060661794713,0.8446359540607713,-0.89691162495976,1.1695649833343595,-0.04687947843200223,-0.3939065481126884,-0.4135349233522958,-0.392665235351077,-0.28041740466373843,0.20559209559258865,-0.43805610870341494,0.7600056038630565,0.5155780592616102
-1.7094739704809534,-0.008741544759266702,-0.19871411653924037,0.06386539391936032,-0.008741544759266702,-0.03772324387687123,0.33412064159378346,-0.1632366327871686,-0.7131206025705,-1.3283293565284042,-2.19096038428331,2.896727993510207,0.24222191857088893,-0.000375969206659704,-0.008570681596838983,0.24222191857088893,0.1640756365798149,0.1234600296591504,0.02221639674150884,-0.6380761307295011,-1.0238448509650866,-1.9897619365567583,2.5131493882841234,-0.3914871405416093,-0.42970610995860986,-0.3981825801171652,-0.526277012892691,-0.4296772997154588,-1.1553496635049203,-0.28897389285043634,-0.7706226851817123
-1.705713177310106,-0.6733167282063659,-0.518092534358013,-0.2887808806483812,-0.6733167282063659,-0.6320029324269731,-0.4662059456435022,-0.6110341709503602,-0.3147911121681097,-0.9137852307097835,1.6896072604236954,-0.40484281465050115,-0.5905746141713923,-0.4651619940860689,-0.19587097649693533,-0.5905746141713923,-0.6609071629431575,-0.29105257672427465,-0.4673091080604338,-0.4250586526488083,-0.8693293189646268,0.44373142888175376,0.4871145470146844,-0.3969953731580214,-0.4146053571938795,-0.39229242810899784,-0.6058623557252575,-0.43809556685866824,-0.5963698122432372,-0.6180841993067332,-0.8412178199204485
-1.7019523841392583,0.33709897449782894,-0.22896433880834266,-0.23345817320648013,0.33709897449782894,-0.07036356530801352,-0.0321122694557322,-0.07733350551907762,-0.28455376035501007,-0.8480629865841444,-0.7219246550734949,1.3417474199044206,0.19594835695020812,-0.14613724005648848,-0.12953972835841338,0.19594835695020812,-0.01504274349516466,-0.033272287180574074,-0.04131581038260803,-0.3635585778690181,-0.7557826683711509,-0.715814831907803,1.2738777937216812,-0.1887932125567819,-0.2866248654902749,-0.3619469075626589,-0.21105958828284954,0.034491229563580486,-0.4849339678360708,-0.19520930925236377,-0.37779057825591794
-1.6981915909684109,-0.10913121897849909,-0.056052129035617036,-0.06906086425013379,-0.10913121897849909,0.11621060449950234,0.1703866633056421,-0.1517387937641111,-0.3726142195188639,0.9802937406835248,-1.1301382168520329,-0.07751435060172125,0.02510197506006311,0.03213459289573564,-0.06863347947362099,0.02510197506006311,0.20402616105834767,0.045640275605384965,-0.09420198860067008,-0.40925635403442345,0.3182430242274681,-0.6657547288996977,0.2102182437363273,0.14870233034442001,0.2821172523728077,0.38942188000525507,0.15283387298967374,-0.26850166701007905,0.3027749813473556,0.0979735535698193,0.6775783300192517
-1.6944307977975634,-0.5162423829063986,0.3181889878995048,0.7439398732137892,-0.5162423829063986,-0.19147012147234638,0.4878463978462344,-0.7141921875150529,-0.4044885888103502,-1.032350883122773,0.1015336479644451,0.8980782843729018,-0.5493421373839251,-0.17692925829647274,0.01441013936828783,-0.5493421373839251,-0.4941629713336384,-0.08671613265343561,-0.7007799541998083,-0.530267633671792,-0.845666250609678,0.13563826252631433,0.702368250517881,-0.13598117948729663,-0.2749704530408127,-0.34845932945386854,0.586992892484282,0.312800905720309,-0.5681906933168818,0.4848703584202404,-0.21322244280803856
