GMM_Cluster,0/0/0,0/0/1,0/1/0,0/1/1,1/0/0,1/0/1,1/1/0,1/1/1
0,26,12,0,0,9,4,70,14
1,94,32,9,3,51,9,324,39
2,44,15,1,0,17,11,114,24
