GMM_Cluster,0/0/0,0/0/1,0/1/0,0/1/1,1/0/0,1/0/1,1/1/0,1/1/1
0,19.26,8.89,0.0,0.0,6.67,2.96,51.85,10.37
1,16.76,5.7,1.6,0.53,9.09,1.6,57.75,6.95
2,19.47,6.64,0.44,0.0,7.52,4.87,50.44,10.62
