KMeans_Cluster,0/0/0,0/0/1,0/1/0,0/1/1,1/0/0,1/0/1,1/1/0,1/1/1
0,18.69,7.07,1.52,0.34,9.09,2.02,54.04,7.24
1,16.16,5.18,0.3,0.3,7.01,3.66,57.01,10.37
