KMeans_Cluster,0/0/0,0/0/1,0/1/0,0/1/1,1/0/0,1/0/1,1/1/0,1/1/1
0,18.44,6.91,1.6,0.35,9.57,2.13,53.55,7.45
1,16.76,5.59,0.28,0.28,6.42,3.35,57.54,9.78
