GMM_Cluster,0/0/0,0/0/1,0/1/0,0/1/1,1/0/0,1/0/1,1/1/0,1/1/1
0,18.12,10.0,0.0,0.0,6.88,2.5,53.75,8.75
1,18.92,5.41,0.45,0.0,7.21,4.95,52.25,10.81
2,17.22,5.74,1.67,0.56,9.26,1.67,56.67,7.22
