GMM_Cluster,0/0/0,0/0/1,0/1/0,0/1/1,1/0/0,1/0/1,1/1/0,1/1/1
0,18.98,7.12,1.64,0.36,9.31,2.19,52.74,7.66
1,17.25,6.07,0.32,0.32,7.03,3.83,55.27,9.9
