KMeans_Cluster,0/0/0,0/0/1,0/1/0,0/1/1,1/0/0,1/0/1,1/1/0,1/1/1
0,18.37,5.71,0.41,0.0,7.76,4.9,51.02,11.84
1,18.34,7.14,1.46,0.49,8.77,1.95,54.71,7.14
