GMM_Cluster,0/0/0,0/0/1,0/1/0,0/1/1,1/0/0,1/0/1,1/1/0,1/1/1
0,44,22,2,1,22,3,151,23
1,19,8,0,0,8,3,57,12
2,101,29,8,2,47,18,299,42
