KMeans_Cluster,0/0/0,0/0/1,0/1/0,0/1/1,1/0/0,1/0/1,1/1/0,1/1/1
0,21.74,9.78,0.0,0.0,9.78,1.09,50.0,7.61
1,17.37,6.03,1.21,0.36,8.2,2.77,55.61,8.44
