GMM_Cluster,0/0/0,0/0/1,0/1/0,0/1/1,1/0/0,1/0/1,1/1/0,1/1/1
0,16.42,8.21,0.75,0.37,8.21,1.12,56.34,8.58
1,17.76,7.48,0.0,0.0,7.48,2.8,53.27,11.21
2,18.5,5.31,1.47,0.37,8.61,3.3,54.76,7.69
