GMM_Cluster,0/0/0,0/0/1,0/1/0,0/1/1,1/0/0,1/0/1,1/1/0,1/1/1
0,20.86,9.35,0.72,0.72,7.91,1.44,52.16,6.83
1,15.3,3.96,1.85,0.26,8.71,2.11,60.42,7.39
2,20.1,6.03,0.5,0.0,7.04,5.03,50.25,11.06
3,12.12,9.09,0.0,0.0,12.12,3.03,51.52,12.12
