KMeans_Cluster,0/0/0,0/0/1,0/1/0,0/1/1,1/0/0,1/0/1,1/1/0,1/1/1
0,17.91,6.53,1.37,0.46,9.26,1.82,55.99,6.68
1,17.49,6.08,0.38,0.0,6.08,4.56,52.85,12.55
