GMM_Cluster,0/0/0,0/0/1,0/1/0,0/1/1,1/0/0,1/0/1,1/1/0,1/1/1
0,58,26,2,2,22,4,145,19
1,58,15,7,1,33,8,229,28
2,40,12,1,0,14,10,100,22
3,8,6,0,0,8,2,34,8
