KMeans_Cluster,0/0/0,0/0/1,0/1/0,0/1/1,1/0/0,1/0/1,1/1/0,1/1/1
0,20.83,9.38,0.0,0.0,9.38,1.04,52.08,7.29
1,17.48,6.07,1.21,0.36,8.25,2.79,55.34,8.5
