GMM_Cluster,0/0/0,0/0/1,0/1/0,0/1/1,1/0/0,1/0/1,1/1/0,1/1/1
0,18.46,6.2,1.48,0.3,8.71,2.81,54.21,7.83
1,16.05,7.0,0.0,0.41,7.41,2.06,57.2,9.88
